Numero,Nimi,Valmistaja,Pullokoko,Hinta,Litrahinta,Uutuus,Hinnastojärjestyskoodi,Tyyppi,Alatyyppi,Erityisryhmä,Oluttyyppi,Valmistusmaa,Alue,Vuosikerta,Etikettimerkintöjä,Huomautus,Rypäleet,Luonnehdinta,Pakkaustyyppi,Suljentatyyppi,Alkoholi-%,Hapot g/l,Sokeri g/l,Kantavierrep-%,Väri EBC,Katkerot EBU,Energia kcal/100 ml,Valikoima,EAN
945096,Adrianna Vineyard Fortuna Terrae Malbec 2015,Catena Zapata,"0,75 l",84.96,113.28,,110,punaviinit,Mehevä & Hilloinen,,,Argentiina,Mendoza,2015,Mendoza,,"Malbec, ","Täyteläinen, tanniininen, karhunvatukkainen, mausteinen, aromikas",pullo,luonnonkorkki,14.0,5.6,2,,,,80.0,tilausvalikoima,7794450005274
935635,Adrianna Vineyard River Stones Malbec 2017,Catena Zapata,"0,75 l",124.91,166.55,,110,punaviinit,Mehevä & Hilloinen,,,Argentiina,Mendoza,2017,Mendoza,,"Malbec, ","Täyteläinen, tanniininen, boysenmarjainen, mustikkainen, vadelmainen",pullo,luonnonkorkki,13.5,5.0,2,,,,80.0,tilausvalikoima,7794450005304
440567,Alamos Malbec Organic 2020,Alamos,"0,75 l",10.99,14.52,,110,punaviinit,Mehevä & Hilloinen,luomu,,Argentiina,Mendoza,2020,Mendoza,,"Malbec, ","Täyteläinen, keskitanniininen, luumuhilloinen, kypsän karpaloinen, hennon kukkainen, mausteinen",pullo,metallinen kierrekapseli,13.5,5.1,,,,,80.0,vakiovalikoima,7794450004871
424107,Alamos Tempranillo 2016,Alamos,"0,75 l",10.99,14.52,,110,punaviinit,Mehevä & Hilloinen,,,Argentiina,Mendoza,2016,Mendoza,,"Tempranillo, ","Keskitäyteläinen, keskitanniininen, luumuinen, karhunvatukkainen, karpaloinen, mokkainen, hennon yrttinen",pullo,metallinen kierrekapseli,12.5,4.6,2,,,,70.0,vakiovalikoima,7794450092410
939055,Altos Las Hormigas Clásico Malbec 2018,Altos Las Hormigas,"0,75 l",16.99,22.65,,110,punaviinit,Mehevä & Hilloinen,ympäristövastuullinen pakkaus,,Argentiina,Mendoza,2018,Mendoza,Saattaa sisältää sakkaa,"Malbec, ","Täyteläinen, keskitanniininen, luumuinen, karhunvatukkainen, aroniamarjainen",pullo,luonnonkorkki,13.5,5.1,3,,,,80.0,tilausvalikoima,7798051950032
936741,Altos Las Hormigas Terroir Luján de Cuyo 2017,Altos Las Hormigas,"0,75 l",18.90,25.2,,110,punaviinit,Vivahteikas & Kehittynyt,,,Argentiina,Mendoza,2017,Mendoza,Saattaa sisältää sakkaa,"Malbec, ","Täyteläinen, keskitanniininen, luumuinen, karhunvatukkainen, mausteinen",pullo,luonnonkorkki,13.5,4.7,2,,,,80.0,tilausvalikoima,7798051950780
945913,Altos Las Hormigas Terroir Malbec 2016,Altos Las Hormigas,"0,75 l",20.98,27.97,,110,punaviinit,Vivahteikas & Kehittynyt,,,Argentiina,Mendoza,2016,"Uco Valley, Mendoza",Saattaa sisältää sakkaa,"Malbec, ","Täyteläinen, keskitanniininen, luumuinen, mausteinen, nahkainen",pullo,luonnonkorkki,13.5,5.4,2,,,,80.0,tilausvalikoima,7798051950025
921767,Argento Organic Malbec Reserva 2015,Bodega Argento,"0,75 l",14.98,19.84,,110,punaviinit,Mehevä & Hilloinen,luomu,,Argentiina,Mendoza,2015,Uco Valley,,"Malbec, ","Keskitäyteläinen, keskitanniininen, tumman kirsikkainen, mansikkahilloinen, karpaloinen, yrttinen, mausteinen",pullo,luonnonkorkki,14.0,4.9,,,,,80.0,vakiovalikoima,7798130462548
402217,Argento Paraje Altamira Organic Malbec 2014,Bodega Argento,"0,75 l",30.27,40.36,,110,punaviinit,Roteva & Voimakas,luomu,,Argentiina,Mendoza,2014,Valle de Uco,,"Malbec, ","Täyteläinen, tanniininen, tumman kirsikkainen, karhunvatukkainen, viikunainen, kevyen orvokkinen, mausteinen, tyylikäs, tasapainoinen",pullo,luonnonkorkki,14.0,4.6,,,,,80.0,erikoiserä,7798130462692
941387,Argento Reserva Cabernet Franc 2014,Bodega Argento,"0,75 l",14.99,19.99,,110,punaviinit,Mehevä & Hilloinen,,,Argentiina,Mendoza,2014,Mendoza,,"Cabernet Franc, ","Täyteläinen, keskitanniininen, mustaherukkainen, vadelmainen, pippurinen",pullo,luonnonkorkki,14.0,5.1,4,,,,80.0,tilausvalikoima,7798130462425
451687,Argento Seleccion Malbec 2018,Argento Wine Company,"0,75 l",10.48,13.84,,110,punaviinit,Mehevä & Hilloinen,,,Argentiina,Mendoza,2018,Mendoza,,"Malbec, ","Keskitäyteläinen, keskitanniininen, tumman kirsikkainen, metsämansikkainen, kevyen mausteinen",pullo,metallinen kierrekapseli,13.5,5.1,3,,,,80.0,vakiovalikoima,7798159560270
924067,Beefsteak Club Malbec 2019,E. I. Wines,"0,75 l",10.99,14.52,,110,punaviinit,Mehevä & Hilloinen,,,Argentiina,Mendoza,2019,,,"Malbec, ","Keskitäyteläinen, keskitanniininen, tumman kirsikkainen, mausteinen",pullo,metallinen kierrekapseli,13.5,5.2,3,,,,80.0,tilausvalikoima,5011932012325
